AccountId,Amount
13KLek3vupduRMh8oUe41bMKmJDkkCo6R2bNwHNRAEMkq7Fo,25.00
13RGicChwRRbieepoJPR7Uobg1xhGPkUjnQujmZJZuFXAo3d,52.00
13ThRbXdbRyunTQo6S5nNbv7hhCNjeU3NCdpM5TB1sN4G9CG,63.00
13VWtPmkXVd21fLVB54JFCnpS9wFFbqgxYXCusXvmofXx7t5,23.00
13VeRnTFfVguST8zxsdPHj2gXwWbiCU35ii2dX3oV8CpvcXZ,5.00
13VvdrqUGSGSKACxAAuKdfNnK4R8gqcYGpaYLCP4wqS4ejwL,20.60
13WFmYucmwK9URuY8xuWcTTEB6CfsEqQXeFzTttMxV8pQyfM,20.00
13Xxik6pGUps7zhU81PETTF7miFoyWyYAZ2q23WMrTE6SVSs,7.00
13YAHxgsAPRcyAEyxWsgMfB81R1vZStFFdmLYKLdxBVcTD5y,169.50
13YLV4PbhJEKkFm4QxymJNw2RzQcA4d27c7VLvbAY8E6igyQ,240.00
13YknJQHqmBb2JcKk5rBnA6JMNGc3ciRTTFaPVGsvptixAri,10.00
13YmxrkT9uKHyqVpTZTNE9n63CsTCDJY3PhWuzn2gK74B8ke,5.00
13Z8CP62bsXr1zgRxLaiAPggYoCHnEXtLWh4YktctGXJVymF,10.00
13aYcsVZui8oPy8zbCbaRcnd2ttRBcFNy2Bnq5sHAr5GFF1W,19.84
13agoJihh2dHb5yjGLSviUFByQRDSC3f3ditW62xpvUXJpFz,10.00
13auqhfXrS2CiaxawnUbZesUNbmmexS1yyRSAvjiR7BgRN7Y,40.00
13bW6saqgPoUGQSaY2qyfg4JnTXeJUCbooi92VP7mxY6F2Un,50.00
13dH4hnNxVPofiPLPYHT2B3enKW3rKGZWJzgMFR6EtVocAjU,77.00
13dTBYQjy4uV6u6kZZcbVXHPWgtvSdZx68e4p3kq6fDEQKuf,48.88
13e3Y9ojcWPKFSbMzrFQrHghCuUzHdb8qSXATwrgkoqGDgTC,10.00
13e5VJ3HTVHQFjtqjmDwyLEu1MKTXQPhQWDpzDoP9ZcvpNGM,5.00
13fGBQPz96e5Bnz2PkcZxXgMdET3cjDqUuodC6TzWMhNYJiL,50.00
13g5bXQqoNsqDN9rvQYUFrKaGN4o37pyvnJ9Mxfv7wKZZTvP,10.00
13gVff21HgMNFWpCTeabQPTNnsBp4QexR65dqCXgzGDGDpCc,169.90
13jK2xSYyY7NR39kvdBnYk2D3V2Gu2YsY5xAAzjpYYYXPXb3,10.00
13jYaHS7HAc1qi8svah9qrQYhuhSZYMmqhfNrQ95fpuox6Lz,10.00
13mQEi4a88surwwQVsJ47AyARdJ6iWzrZqSavdsjwoh8T1ka,5.00
13mWQ3hxTe3e7SwqMiEF2S87pBNBYApmyWYsgUgghwRTkZoM,71.00
13n7jk8nstEebL8Ptebj2yf7rkEv8WNhqbDKdoeSRzghSxKV,15.00
13n9NHkyjBK64JUyydzGGvYBmD7U5as4JmfomTkEYzHGqWgm,12.50
13rVxk4DtfcorKSAqahWstBXEhbmSwsFNotGcaNFbtnQhXP8,5.00
