AccountId,Amount
16fpKKPWwEQztKF3Hx2CGNekhT2rUdd9chLaPox3odmfrzaC,6.50
14V7ebtQMk5Z8sCAEYaeQAQdqdwF8X4nw4w1Ni6eZ3MDTZZj,28.00
15XG9WhZzgkdYtcCXoZSLogrFECdn6ToC8t8GxguZvWhUsHH,5.00
1HfeXfrhPcNtGSQej9VGvE853fScmbSRep4L3btr5FLFjzL,159.53
125wkfPzf2384ZEzpK84rRqWCqxc7rbhMV63vojvQJgWdeXM,"1,025.00"
1HfeXfrhPcNtGSQej9VGvE853fScmbSRep4L3btr5FLFjzL,7.67
16FpumLjLkbwFVHig7Ras6RtHta8eCgnWpCoBZrKLq2NwUA6,20.00
11gXKJs1BLBpX3nzoTyUz6xA5Qfuisn7Ho9ykS7Kk4nXfQj,50.00
12KJGak4bGS33YFJyD8CZxFKA7yaeq3nmBcEQHAndWzdKMU5,200.00
12KJGak4bGS33YFJyD8CZxFKA7yaeq3nmBcEQHAndWzdKMU5,500.00
12KJGak4bGS33YFJyD8CZxFKA7yaeq3nmBcEQHAndWzdKMU5,300.00
15kPQutjGHmATZAMYeFxFGRd4sXj9Wmzd92CV953d7WmphxV,5.00
13jK2xSYyY7NR39kvdBnYk2D3V2Gu2YsY5xAAzjpYYYXPXb3,5.00
12iwM15aT3VnQkdVu6bTFbR1pSMDZbDemSyxw4SdLr6y1kx1,6.00
16Xsd2EPRvBj3y2yGAvfYXE8Hom5XidcTdXv9nfNqznkYawE,30.00
12pBXfYhv2eBuFeZoNJAnHa1pXGbmxMhDUB2rVBwpAYqXSWA,6.30
13QhhUHZGShfC7o6tXFUxReTb1JYgru28B1DF1TGwdjV4qZt,10.00
13E589EJkf2Mp46buuzsDdbSD3t55fvAmkRy8xfEKaY4Wysh,"15,000.00"
12QNXgbdH7F7TKYNXhhXWADyeJXbfqZubeDPScC3hWZu7PBb,"1,000.00"
128mNoqWtfW8u6rCUjPXaqKDYD7K4DBgkN4xUQKjLxu6gYRc,"1,000.00"
12pyWHjCTKgSyjax3V3n14K55wTfaJEuDuPzymqc7x1PRuwr,301.11
15Doapat3eiJR31q21u5PBiLrkWmSmP55mGkLwYCKrbnp3j7,10.00
15Ct8rhTTJtkXER5dNRDSC33XoFrq7AVeXeH8ZSw64uX7RYZ,19.00
19bSjLZBoWw2i3KUnEr2e3j42DwkM4Ck2BRoUwLBtLjvScr,77.00
16Xsd2EPRvBj3y2yGAvfYXE8Hom5XidcTdXv9nfNqznkYawE,10.00
15VukMTZd6FqBKMkiMoFeJMr18e3yc6SGqpPnECza4diPhwo,10.00
14XxshXzKQJAHBNe1ngvgPstWeSjuwMdtnY4kxbCBeafycVS,5.00
143wJP21razGnRoK6JVFjQq8DLLXERheYNu23Skf51fMNoXQ,11.01
16Rpn8Aftrqgd3wTibnsQxuvGfJhfL27G8NYWGdTQafuoEmF,30.00
16Ptzbyf4LzXFVVQ45ndSeRR4AtwVMC3waaeoz6W6hWPdvEQ,50.00
13mVXP3AySZ6zebb6ba9q5DKucoKMoYo282atQwsYgZTu8Ku,"1,841.00"
1ZMb4pvDyZq7K5rRTAUckaPSUZAuhmAK91mwFdJ2qW3gCsA,5.05
12pME4fPiNJpp1bxZcKUzqWKfEk5e1sD7qnf25Y5hhfmdFXp,10.50
1W4KiYX4SNSVbp37GfULEJFS7KhEmXRuJbH44XYNE7DCGCz,"1,235.73"
15dQm4nGceQC8PwNvsmJhSSLd1ZsZeMkmTDwgAbtpQY5aRaL,7.00
14VK71TxTj7hR2J7nZ35TNauacZFGfGvNTQrbEVjrYMdAEMk,19.00
16Xsd2EPRvBj3y2yGAvfYXE8Hom5XidcTdXv9nfNqznkYawE,5.00
15AZVdFqcQpVyjPvSv4FZjt1YMeq61Xq8UCnLLJeRtAZE5LT,5.00
15Vt1qJfdCUvH9c7dz22kbeJJQs1nGkspVd9vuh8NvfWn2S3,25.00
1k2RfgU3oYujTMAbbvxpKZv7hV6FengcSFW853pFhbPPqPK,5.00
16Xsd2EPRvBj3y2yGAvfYXE8Hom5XidcTdXv9nfNqznkYawE,36.00
12hA8XU6jvrKuc5whKxbKHFMQCvmax99gMjeeJigCFzSQAMT,28.00
1336uMPG67Uj8y6wcq6K8P3fj5Q59WLaShse1jGXySzkeo7F,5.00
145W5sQSWVabshEAUHvKwMzGqAdvwwgkEtJaug7fKZ7WZAWF,20.10
13KceXpKiwNgV9ho94aYgLPfYMX9G8bX2FsEXEjt1i3HuiqX,15.00
Total DOTs,"55,455.54"
