AccountID,Amount
133SRRhHQmFhs8SFmHctH1ZDkSvEXgRciLPJbsq87wXMuPie,5.00
14347nV7RHKdw5BvCpnvaRfDiFEWucbgxLt9EcFS9GCWHUrY,5.00
13mzfsYQh4NP28nvYM2UUNiGaPcbTezYQMEvABSrfwrQEFXF,104.00
12v4FgASKhn8pc1LtxnSWDjfT1GMpYeKZyXdD7JnwbiXGcuD,241.00
12MkD13f6nXx3n4GHWSga8eGeqU4TfrmXWJN6rSm9oMjD6x4,10.00
13H9S8rd1o5qxkSGMiseC3mBKvJ6GUj24iC6EG97LHbSchRg,10.00
16VTkyDPwk6PeCLP3dy83ZRuSVTakk3AcVNVSTuEADvyP33d,30.00
1LX7vGZM95YfPonsaLo6gykdKiNN4v7MPZjYexrKsmkZMgN,50.00
13MSE9Emr5dhvVyjhqqbzNxF5oL5Y6HCesVVu7nNRhknAJZo,5.00
14wrERMGUQDm4tjm44yVnaCGCz7bTojaiYcGaqWPMuTVzQxm,106.50
143XkvmAtAgQFWLEjCHrzXDK3hRT6WNMHHuz1GSbAyZe2KqU,179.00
1LUBkxddkGXKrUMLcinQr21STEP4EPQn3vRaXGJKnEbwvHc,7.80
16J3e6PcNmFi6mK34kxrop8FK61gHriCTUqgQ48xxAvaTKRp,25.00
12ZP9DLEt1S8ZJtdYWwKR7LSyiK33kQzWPzJKyVHMBkee95m,25.00
131avjPAsrAv32nhFJs85i6bjh5KbQ1pR1P6t7UjjUM6T64c,50.00
15Y8otBp28Lm2DwaqzeUgvnRck47sdLYE66gkPkCmG1BVTTv,13.50
133shcj6u559Uj133qpfEKvqR6QEk9gcoZnKKxTtB8h5g1Xp,20.00
13K8vuGqJr2YRcBzBv9Vr7N4hY7Y8BfwyvBtFdoxV9VZYZWE,434.00
1dtThhr4eqzs66CUVgCzEsDspiMphTk22TMVSCXcfQjRJwz,5.00
13SqSs3Y4Mv89ymKDRShStwYdbCKEJH3AKou7BAKw1KDmuKd,25.00
14txUJ8V9rgUQkgUnffqtbRZoff1zpwdqBEfCwQv9AT4AFq3,10.00
15oti8eZpekZSrHDQ1FVHjYR7mpzN3UmWihjV7Kjyhvp3EoB,5.00
14yxQoZkmetpsCy3wvSDNusXh1KsypKCPghUDRErTCjmXwEc,14.00
129dgpfvSDeJZSmbdHGKLxnhB2G4FESZS9dCLfVtnSBMp6jw,25.00
162cZCspSCDj9H7JSDyGA6ku2mJfR1E6ZggmfpfaaA1QGC4c,150.00
13YQdNQtGHnVT2s7zFwSFyWS2pJDMBDn5GF3XUUiDW2fh7nM,5.00
16MGTrQU7qtT3jJ79amDsybGFYS9BovUSN1naKkPaEQuU5uP,165.00
15QZYdAzRYSACCxzEwCNQo131XBYP5GwRtoS7ryKKMN6YmpD,27.00
1USVTakvzWFgUBn2Z9BrJKf8X1p7vJsfB5CWyBk4jCE6m2Q,67.00
1FMu3HkBXV79Xe6goNPhZEsoKLBmFoH3TXzGi1wwFWrLeNT,105.00
14YqxynbRkfbuFvTczdQjde1fk6AkYDfsyJEEBGeGTxLv4SA,5.00
14QDpy1p7CQQhfJTXhoowB98cXGcqsU1Q4DrL1w8AK3ehrAu,6.00
1pLyCvbd3FDYZ2fohBANA3ncZane14KJRn5epzVFRnJ7JaG,50.00
14z6Z3VDh7VzdzwHVx6ybxXvTuuLEGGf33mLUdChVzHKh35T,100.00
13K9pA1ydyzCkZhFc2HMvQsLJYzTKM1imQgDcKtYvfoJiZLr,10.00
1pgLiU7AyS4y4zeWNMbSrt95zKRzHYVxfLXLjrtAnmsqbh7,5.00
12LDDPVCsjbuVvvCp1JQCLadM6fhzTRZoLY8bihThfqJGqAe,20.00
15FhdWbJJ3FLNEjfH1a1mfBuaAziczKxerB342MpLqC86v7o,250.00
143myeCtEbg7Tfa1eB2rBEwM9oA2WTgWr8RZDZbBWC3QAa8k,9.00
15uNtV6ALPg2c8ZVHj3v88MbMaxWduHLbZ7nenuUqs5LrEKs,"1,000.00"
162NGPSQHsBtj3nPGr2ycNvrrwECxGKf5dX8SSEHiiGy9Ump,10.00
12QoSJUFEMhE9nYYxKusXLpmJpPbySYJ1Ypnzj74WQASzx3q,85.00
15T1p97HfpaodMLREd2MVjF8ZydqtJUjFnE4r5Qz84F2x16D,100.00
12VhjBHvuirgm2pHrRtR8GofDR7eDCupqPMbYN3ksxcc87Ko,89.00
12TGSfVQRuXvuAfgxGN64C2ib8n9hgZd8VUKjA2e4moz5NjH,210.00
149EprwNe3sGmVNudj1fMpQbiSyKHJbrEicqTXp1xC2Gh1Yu,20.00
14KKfAAZAGP66nRjxGddkbXv1GQrPXkKr3XEwGGMKHtZ9VWi,50.00
14oRdN7fX2yTRM16eabwpMg2gipjP8PJQxYwqJPAFsWQmTzF,5.00
13Q52dk2S2G1Pzs5qiPGhpAhtpLDks1fRKZAwvv9ttzt5aYk,75.00
12GZX53jD94ea8NUphGcKf5Rk3jeEmcKFfWEk5KwgXNyocBA,264.00
145vVAZ2odHR8kGVoB4Xs2x7SVCRoE6TgbeQs5jsVvdvCtuL,400.00
12eMGz3LTbFYnwrLgF5Gf7kb5evWePqsEPuKNjiX6mSNWFj3,120.00
1H29kQpUM95yGE3KYHQcRLiZrwA8FLu9GeWTZkQuy1bg79S,5.00
14dUCuHyqp9ywHESTRuwxMKnbuCjxN9q3Ar3Y6oTZ3x9CsJ2,30.00
13usCEngVMUqFVYL8ZJ6CM18qznV9oGTcDyVMoVVfkSbrRhK,35.00
16hjNh5gbxXk3WVz3PUUhvdHXysfDEjzTYwDxK3eJqp7GfzL,5.00
14xRBshwgW239FXrgzaqaBMR3R72Ja74Y4hqZHxAea55sKeg,10.00
1eDkL7GJJk5XTy3KGsww6nU7dbeDtqaSJJK4Q6AhJMrap3Q,40.00
13d7NbxF1UVQMYx9SbGu7tWC8uN2TDxR8qBp6RgCzuymcBcQ,"1,056.00"
194TkkmjuiNFHXFLkxTcTWfRpwgXZevtSFmezhFWhuBHqsH,198.00
13hkLApBCMNLWf7fPS93Hrw459MtGZxr32rFegtuFjGiCrZ,11.00
162CBWJmjEYhuHevhnfdJRVgcycNUKp37TzUWsR2JE27bNuD,12.50
13BmqmB4taacDCLTC49GcxwfL9v7xvjmvFeBudg91aGh2sJF,5.00
